1700	0.964
1701	1.021
1702	0.972
1703	0.977
1704	1.019
1705	0.874
1706	0.952
1707	0.93
1708	0.902
1709	0.829
1710	0.804
1711	0.806
1712	1.082
1713	1.153
1714	0.994
1715	1.017
1716	1.007
1717	0.95
1718	0.879
1719	0.837
1720	0.968
1721	1.007
1722	1.03
1723	0.945
1724	1.1
1725	1.202
1726	1.096
1727	1.345
1728	1.036
1729	1.019
1730	1.073
1731	0.943
1732	0.967
1733	1.109
1734	1.184
1735	1.194
1736	1.031
1737	1.165
1738	1.167
1739	1.13
1740	1.083
1741	0.83
1742	0.822
1743	0.755
1744	0.712
1745	0.791
1746	0.95
1747	0.999
1748	0.948
1749	1.061
1750	0.982
1751	0.985
1752	1.016
1753	0.821
1754	1.084
1755	0.941
1756	1.034
1757	0.914
1758	0.796
1759	0.804
1760	0.829
1761	1.051
1762	0.883
1763	1.13
1764	1.012
1765	0.913
1766	1.086
1767	1.042
1768	1.027
1769	1.007
1770	1.015
1771	0.962
1772	0.93
1773	1.005
1774	1.058
1775	1.073
1776	1.085
1777	1.062
1778	1.06
1779	0.959
1780	0.977
1781	0.971
1782	0.94
1783	1.107
1784	0.93
1785	0.92
1786	0.817
1787	0.945
1788	1.035
1789	1.167
1790	0.992
1791	1.004
1792	1.147
1793	0.967
1794	1.07
1795	1.02
1796	1.173
1797	1.2
1798	1.125
1799	0.978
1800	0.83
1801	1.004
1802	0.835
1803	0.985
1804	1.064
1805	1.102
1806	0.942
1807	1.053
1808	1.009
1809	1.1
1810	0.93
1811	1.017
1812	1.128
1813	1.136
1814	1.036
1815	1.008
1816	1.147
1817	1.089
1818	0.916
1819	0.987
1820	1.069
1821	1.062
1822	0.864
1823	1.172
1824	1.215
1825	1.01
1826	1.162
1827	1.144
1828	1.168
1829	1.215
1830	1.102
1831	1.177
1832	0.977
1833	0.999
1834	1.198
1835	1.016
1836	1.011
1837	1.155
1838	0.993
1839	0.953
1840	1.0
1841	0.957
1842	0.969
1843	1.167
1844	1.062
1845	1.114
1846	1.045
1847	1.197
1848	1.212
1849	1.187
1850	1.29
1851	1.228
1852	1.221
1853	1.23
1854	1.061
1855	1.166
1856	1.136
1857	1.008
1858	0.864
1859	1.072
1860	1.166
1861	1.199
1862	1.183
1863	1.199
1864	1.149
1865	0.935
1866	1.012
1867	1.174
1868	1.03
1869	1.171
1870	0.956
1871	1.207
1872	1.026
1873	1.069
1874	1.052
1875	1.293
1876	1.069
1877	1.134
1878	1.298
1879	1.264
1880	1.03
1881	0.959
1882	1.029
1883	1.039
1884	1.146
1885	1.04
1886	1.054
1887	0.985
1888	1.02
1889	1.102
1890	1.204
1891	1.236
1892	1.101
1893	0.944
1894	1.18
1895	1.143
1896	1.189
1897	1.184
1898	1.223
1899	1.221
1900	1.234
1901	1.194
1902	1.176
1903	1.19
1904	1.153
1905	1.013
1906	1.043
1907	1.019
1908	0.953
1909	0.946
1910	1.192
1911	1.059
1912	1.202
1913	1.19
1914	1.358
1915	1.032
1916	1.21
1917	1.16
1918	1.102
1919	1.023
1920	1.02
1921	0.857
1922	0.993
1923	1.027
1924	1.139
1925	1.058
1926	1.138
1927	1.32
1928	1.084
1929	1.035
1930	1.093
1931	1.392
1932	1.37
1933	1.21
1934	0.998
1935	1.107
1936	1.242
1937	1.183
1938	1.181
1939	1.132
1940	0.974
1941	0.954
1942	0.91
1943	1.085
1944	1.169
1945	1.151
1946	1.37
1947	1.043
1948	1.063
1949	1.19
1950	1.187
1951	1.328
1952	1.14
1953	1.191
1954	1.053
1955	1.237
1956	1.006
1957	0.956
1958	1.233
1959	1.028
1960	1.136
1961	1.313
1962	1.216
1963	1.215
1964	1.076
1965	1.311
1966	1.215
1967	1.25
1968	1.218
1969	1.422
1970	1.323
1971	1.306
1972	1.267
1973	1.202
1974	1.126
1975	1.289
1976	0.96
1977	1.137
1978	1.161
1979	1.247
1980	1.185
1981	1.162
1982	1.446
1983	1.25
1984	1.313
1985	1.333
1986	1.334
1987	1.283
1988	1.295
1989	1.208
1990	1.331
1991	1.244
1992	1.286
1993	1.158
1994	1.403
1995	1.206
1996	0.988
1997	1.198
1998	1.124
1999	1.406
2000	1.249
2001	1.523
2002	1.409
2003	1.315
2004	1.208
2005	1.156
2006	1.312
2007	1.331
2008	1.346
2009	1.416
2010	1.136
2011	1.132
2012	1.306
2013	1.246
2014	1.184
2015	1.324
